distance_km,courier_reliability_score,rain_mm,wind_speed_kmh,weather_code,time_of_day,temperature_celsius,traffic_level,is_weekend,weather_severity,is_peak_hour,distance_bucket,rain_x_traffic,courier_x_distance,is_monsoon,day_of_week,wind_x_rain,weather_x_peak,courier_x_weather,traffic_x_dist,time_sin,time_cos,delay_probability,was_delayed
8.43,0.5774,2.15,52.85,81,11,31.1,58.2,0,4,0,1,0.2051,0.1795,0,2,0.2326,0.0,0.1831,0.1456,0.2588,-0.9659,0.9833,1
19.24,0.7734,16.13,6.81,81,12,30.7,57.0,0,4,0,2,0.497,0.0945,1,0,0.0742,0.0,0.0719,0.285,0.0,-1.0,0.9895,1
16.7,0.8039,0.76,2.38,53,15,28.8,23.3,0,3,0,2,0.0405,0.0727,0,4,0.0052,0.0,0.0434,0.1167,-0.7071,-0.7071,0.4415,1
2.61,0.5226,7.21,3.42,63,14,33.2,59.6,0,4,0,0,0.3852,0.1234,0,2,0.0276,0.0,0.2199,0.0,-0.5,-0.866,0.99,1
2.32,0.3986,0.0,25.75,2,12,34.6,59.2,0,1,0,0,0.0,0.1631,0,0,0.0,0.0,0.0777,0.0,0.0,-1.0,0.7048,1
5.21,0.6313,2.59,5.93,63,16,29.5,53.1,0,4,0,1,0.2082,0.1191,0,2,0.0291,0.0,0.1493,0.1326,-0.866,-0.5,0.9624,1
2.15,0.4547,0.0,8.23,1,16,30.9,35.7,1,0,0,0,0.0,0.1346,0,5,0.0,0.0,0.0,0.0,-0.866,-0.5,0.1856,1
9.55,0.9179,0.0,9.61,0,18,27.8,82.7,0,0,1,1,0.0,0.0161,0,3,0.0,0.0,0.0,0.2068,-1.0,-0.0,0.3988,0
9.13,0.6997,0.2,18.28,51,13,33.5,55.8,0,3,0,1,0.0314,0.111,0,1,0.0129,0.0,0.0823,0.1395,-0.2588,-0.9659,0.7142,0
7.15,0.5141,0.0,0.56,1,16,34.4,66.3,0,0,0,1,0.0,0.2069,0,2,0.0,0.0,0.0,0.1657,-0.866,-0.5,0.5777,0
13.99,0.7616,0.0,13.08,0,11,31.2,26.0,1,0,0,2,0.0,0.0918,1,5,0.0,0.0,0.0,0.1298,0.2588,-0.9659,0.0711,0
25.34,0.6346,0.0,9.19,0,15,29.6,35.8,0,0,0,3,0.0,0.2104,0,1,0.0,0.0,0.0,0.2684,-0.7071,-0.7071,0.2711,0
9.75,0.8205,0.0,18.78,0,18,29.5,91.1,0,0,1,1,0.0,0.0526,1,0,0.0,0.0,0.0,0.2278,-1.0,-0.0,0.604,1
32.7,0.9646,0.0,6.16,3,13,30.1,59.9,0,1,0,4,0.0,0.0068,0,0,0.0,0.0,0.0011,0.5993,-0.2588,-0.9659,0.2343,0
4.89,0.8014,0.0,9.8,0,14,34.0,58.3,0,0,0,0,0.0,0.0457,0,4,0.0,0.0,0.0,0.0,-0.5,-0.866,0.1194,0
17.01,0.6927,0.0,11.82,0,14,29.4,58.3,0,0,0,2,0.0,0.1434,0,4,0.0,0.0,0.0,0.2915,-0.5,-0.866,0.3017,1
4.71,0.527,0.91,22.7,53,18,30.9,87.7,0,3,1,0,0.1742,0.1651,0,0,0.0564,3.0,0.1627,0.0,-1.0,-0.0,0.99,1
7.52,0.5576,0.0,28.6,3,12,36.9,56.3,0,1,0,1,0.0,0.1835,0,0,0.0,0.0,0.049,0.1407,0.0,-1.0,0.6005,1
2.66,0.7481,0.0,11.31,1,10,33.4,91.6,0,0,1,0,0.0,0.0477,0,0,0.0,0.0,0.0,0.0,0.5,-0.866,0.5206,0
12.9,0.7685,0.0,7.05,0,8,30.5,87.7,0,0,1,2,0.0,0.0854,0,3,0.0,0.0,0.0,0.4385,0.866,-0.5,0.6001,1
7.27,0.4973,0.0,4.93,3,18,28.0,84.7,0,1,1,1,0.0,0.2192,0,0,0.0,1.0,0.0594,0.2117,-1.0,-0.0,0.9048,1
25.94,0.6376,0.0,26.38,0,7,31.2,49.1,0,0,0,3,0.0,0.2093,1,2,0.0,0.0,0.0,0.3682,0.9659,-0.2588,0.5267,1
26.36,0.8425,3.01,28.04,61,7,28.6,23.9,1,3,0,3,0.102,0.0602,0,5,0.1494,0.0,0.0312,0.1795,0.9659,-0.2588,0.7114,1
23.1,0.3735,0.0,19.27,0,19,20.7,83.0,0,0,1,3,0.0,0.4595,1,2,0.0,0.0,0.0,0.6226,-0.9659,0.2588,0.9682,1
6.34,0.712,0.0,27.07,0,18,32.7,82.2,0,0,1,1,0.0,0.0898,0,2,0.0,0.0,0.0,0.2056,-1.0,-0.0,0.6373,0
18.0,0.8702,0.0,3.53,1,10,36.7,67.3,0,0,1,2,0.0,0.0401,0,4,0.0,0.0,0.0,0.3363,0.5,-0.866,0.3448,0
22.78,0.9536,0.0,27.77,0,19,28.0,84.6,0,0,1,3,0.0,0.0092,0,0,0.0,0.0,0.0,0.6341,-0.9659,0.2588,0.549,0
1.02,0.9562,0.0,35.49,1,11,33.4,65.2,0,0,0,0,0.0,0.0019,0,2,0.0,0.0,0.0,0.0,0.2588,-0.9659,0.1432,1
2.63,0.7619,0.0,6.06,3,12,28.4,63.0,0,1,0,0,0.0,0.0436,0,2,0.0,0.0,0.0194,0.0,0.0,-1.0,0.206,1
0.82,0.5749,0.0,12.3,2,9,31.5,89.6,0,1,1,0,0.0,0.0482,0,1,0.0,1.0,0.0462,0.0,0.7071,-0.7071,0.7501,0
9.55,0.6836,25.06,42.24,82,9,36.4,94.2,0,5,1,1,0.9429,0.1221,0,3,0.5284,5.0,0.1483,0.2356,0.7071,-0.7071,0.99,1
3.64,0.709,0.0,4.01,0,8,25.6,78.0,0,0,1,0,0.0,0.0702,1,3,0.0,0.0,0.0,0.0,0.866,-0.5,0.4422,1
9.48,0.7805,0.0,34.53,1,13,27.4,68.3,0,0,0,1,0.0,0.0703,0,0,0.0,0.0,0.0,0.1707,-0.2588,-0.9659,0.3019,0
6.81,0.7951,0.0,19.9,1,13,35.6,56.5,0,0,0,1,0.0,0.0555,0,1,0.0,0.0,0.0,0.1412,-0.2588,-0.9659,0.1526,1
1.71,0.5361,3.3,15.78,63,8,34.6,85.5,0,4,1,0,0.3832,0.0919,0,3,0.0884,4.0,0.2107,0.0,0.866,-0.5,0.99,1
3.19,0.7324,0.0,35.79,2,11,32.1,37.4,0,1,0,0,0.0,0.0578,0,4,0.0,0.0,0.0231,0.0,0.2588,-0.9659,0.2645,0
6.22,0.8315,0.0,9.33,1,16,28.4,57.4,0,0,0,1,0.0,0.0398,0,1,0.0,0.0,0.0,0.1435,-0.866,-0.5,0.1606,1
17.04,0.6571,0.0,16.1,1,16,34.2,52.3,0,0,0,2,0.0,0.1691,0,3,0.0,0.0,0.0,0.2616,-0.866,-0.5,0.418,1
5.02,0.4886,2.96,24.46,61,5,21.3,18.6,0,3,0,1,0.0783,0.1912,0,2,0.1291,0.0,0.1829,0.0464,0.9659,0.2588,0.8947,1
7.64,0.4587,39.26,20.67,82,10,30.4,77.8,0,5,1,1,0.8823,0.2501,1,2,0.293,5.0,0.3319,0.1945,0.5,-0.866,0.99,1
10.69,0.7731,1.64,18.53,51,11,31.2,35.2,0,3,0,2,0.105,0.0774,0,1,0.069,0.0,0.0541,0.1762,0.2588,-0.9659,0.7895,1
21.95,0.8566,0.0,9.2,1,11,33.2,53.1,0,0,0,3,0.0,0.0496,1,0,0.0,0.0,0.0,0.3985,0.2588,-0.9659,0.2068,1
1.69,0.5334,0.0,12.25,0,16,30.3,55.5,0,0,0,0,0.0,0.0918,0,0,0.0,0.0,0.0,0.0,-0.866,-0.5,0.3352,1
8.65,0.8988,0.0,16.42,0,13,30.5,61.0,0,0,0,1,0.0,0.0212,0,4,0.0,0.0,0.0,0.1526,-0.2588,-0.9659,0.1329,0
20.42,0.7619,0.0,17.66,0,17,22.8,83.5,0,0,1,3,0.0,0.1037,0,4,0.0,0.0,0.0,0.6264,-0.9659,-0.2588,0.6684,0
25.49,0.6742,0.0,8.86,1,9,26.3,73.7,0,0,1,3,0.0,0.1774,1,0,0.0,0.0,0.0,0.5528,0.7071,-0.7071,0.7016,0
2.62,0.5446,0.4,16.98,51,8,30.0,78.5,0,3,1,0,0.0806,0.1152,0,3,0.0218,3.0,0.1537,0.0,0.866,-0.5,0.959,1
10.93,0.8049,0.0,12.57,1,18,25.7,88.4,0,0,1,2,0.0,0.0622,0,3,0.0,0.0,0.0,0.4422,-1.0,-0.0,0.5739,1
18.67,0.6791,0.0,11.27,1,18,27.6,93.5,0,0,1,2,0.0,0.1577,0,1,0.0,0.0,0.0,0.4675,-1.0,-0.0,0.7982,1
8.1,0.8164,0.0,17.46,0,8,29.0,89.4,0,0,1,1,0.0,0.0506,1,3,0.0,0.0,0.0,0.2235,0.866,-0.5,0.5616,1
2.7,0.5498,0.0,21.79,0,22,21.2,35.3,0,0,0,0,0.0,0.1151,0,4,0.0,0.0,0.0,0.0,-0.5,0.866,0.1921,0
10.53,0.6535,0.0,15.08,1,12,30.4,59.9,0,0,0,2,0.0,0.1452,0,4,0.0,0.0,0.0,0.2993,0.0,-1.0,0.3247,0
6.24,0.9255,0.0,27.85,1,18,28.7,97.0,0,0,1,1,0.0,0.0117,0,3,0.0,0.0,0.0,0.2425,-1.0,-0.0,0.5566,0
17.88,0.579,0.0,20.8,0,8,29.3,74.2,0,0,1,2,0.0,0.2337,1,3,0.0,0.0,0.0,0.3708,0.866,-0.5,0.8187,1
17.38,0.9038,0.0,5.49,2,15,32.7,42.4,0,1,0,2,0.0,0.0253,1,3,0.0,0.0,0.005,0.212,-0.7071,-0.7071,0.1364,0
3.75,0.7982,0.0,11.64,1,18,29.6,95.1,0,0,1,0,0.0,0.0411,0,4,0.0,0.0,0.0,0.0,-1.0,-0.0,0.5321,0
15.36,0.76,7.63,8.17,81,15,27.6,30.2,0,4,0,2,0.1998,0.0957,0,3,0.0676,0.0,0.0784,0.151,-0.7071,-0.7071,0.9326,1
9.73,0.5553,0.0,23.09,0,15,31.2,24.2,0,0,0,1,0.0,0.2049,0,0,0.0,0.0,0.0,0.0605,-0.7071,-0.7071,0.2534,1
6.99,0.4665,2.25,0.7,80,13,35.5,56.5,0,3,0,1,0.2043,0.2358,1,0,0.0032,0.0,0.1948,0.1412,-0.2588,-0.9659,0.9739,1
6.77,0.8194,0.0,55.46,3,9,29.1,86.3,0,1,1,1,0.0,0.0458,1,4,0.0,1.0,0.0128,0.2157,0.7071,-0.7071,0.7899,1
8.56,0.8135,0.0,4.77,2,10,34.3,77.3,0,1,1,1,0.0,0.053,0,4,0.0,1.0,0.0134,0.1932,0.5,-0.866,0.5631,0
6.53,0.6581,0.0,5.59,3,18,29.4,90.8,0,1,1,1,0.0,0.1175,1,4,0.0,1.0,0.0333,0.2271,-1.0,-0.0,0.805,1
6.72,0.7539,0.0,30.1,0,12,36.8,52.0,0,0,0,1,0.0,0.0727,0,0,0.0,0.0,0.0,0.13,0.0,-1.0,0.1887,0
2.22,0.2038,0.0,60.64,0,15,32.1,31.9,0,0,0,0,0.0,0.242,0,2,0.0,0.0,0.0,0.0,-0.7071,-0.7071,0.8138,1
10.73,0.8487,0.0,12.91,1,11,31.3,32.8,1,0,0,2,0.0,0.0422,0,6,0.0,0.0,0.0,0.164,0.2588,-0.9659,0.0539,0
7.86,0.6538,0.0,8.06,2,18,32.9,32.2,1,1,1,1,0.0,0.1294,0,5,0.0,1.0,0.034,0.0806,-1.0,-0.0,0.2544,0
23.29,0.8407,0.0,16.65,0,0,22.3,34.4,0,0,0,3,0.0,0.0591,1,3,0.0,0.0,0.0,0.2577,0.0,1.0,0.1063,1
2.7,0.8877,0.0,9.79,0,18,24.6,83.3,0,0,1,0,0.0,0.0144,0,0,0.0,0.0,0.0,0.0,-1.0,-0.0,0.3156,0
6.13,0.6525,0.0,24.72,1,22,19.3,21.1,0,0,0,1,0.0,0.1172,0,3,0.0,0.0,0.0,0.0527,-0.5,0.866,0.1203,1
7.0,0.8645,31.47,4.03,99,17,31.5,72.6,0,6,1,1,0.7757,0.0302,1,3,0.0538,6.0,0.0499,0.1816,-0.9659,-0.2588,0.99,1
18.31,0.5956,0.0,0.37,1,16,32.5,59.9,0,0,0,2,0.0,0.2217,0,4,0.0,0.0,0.0,0.2995,-0.866,-0.5,0.5196,1
23.67,0.8214,4.59,2.69,61,11,31.0,50.1,0,3,0,3,0.2646,0.0705,0,2,0.0177,0.0,0.0377,0.3756,0.2588,-0.9659,0.9462,1
9.74,0.9737,0.0,16.65,1,12,33.9,56.3,0,0,0,1,0.0,0.0029,0,2,0.0,0.0,0.0,0.1408,0.0,-1.0,0.0952,1
14.91,0.5087,0.0,14.25,0,3,28.9,34.1,0,0,0,2,0.0,0.2775,1,3,0.0,0.0,0.0,0.1705,0.7071,0.7071,0.402,0
14.97,0.7357,0.0,27.83,0,18,29.8,94.5,0,0,1,2,0.0,0.1097,0,0,0.0,0.0,0.0,0.4725,-1.0,-0.0,0.7817,1
18.01,0.5147,0.0,16.74,1,13,33.5,75.0,0,0,0,2,0.0,0.29,1,0,0.0,0.0,0.0,0.3751,-0.2588,-0.9659,0.7386,1
27.61,0.8226,0.0,10.5,1,13,36.1,60.2,0,0,0,3,0.0,0.073,1,4,0.0,0.0,0.0,0.4514,-0.2588,-0.9659,0.2221,0
31.98,0.6297,0.0,12.57,2,14,31.9,62.5,0,1,0,4,0.0,0.2294,1,2,0.0,0.0,0.0376,0.625,-0.5,-0.866,0.6613,1
5.51,0.5674,3.89,13.62,63,14,33.6,50.3,0,4,0,1,0.2453,0.1553,1,0,0.083,0.0,0.1897,0.1258,-0.5,-0.866,0.976,1
1.27,0.7179,0.0,15.84,0,15,26.8,25.2,0,0,0,0,0.0,0.0358,0,4,0.0,0.0,0.0,0.0,-0.7071,-0.7071,0.0491,0
2.8,0.5251,0.0,13.97,1,9,33.0,83.9,0,0,1,0,0.0,0.1273,0,0,0.0,0.0,0.0,0.0,0.7071,-0.7071,0.7422,1
10.36,0.8567,36.03,4.02,82,13,31.2,64.7,0,5,0,2,0.7169,0.0384,1,3,0.0557,0.0,0.0452,0.3234,-0.2588,-0.9659,0.99,1
8.83,0.6389,0.0,2.0,3,13,38.6,59.9,0,1,0,1,0.0,0.1445,0,1,0.0,0.0,0.0362,0.1498,-0.2588,-0.9659,0.4109,0
30.73,0.5767,0.0,13.25,0,0,25.2,30.9,0,0,0,4,0.0,0.2772,0,3,0.0,0.0,0.0,0.3094,0.0,1.0,0.365,0
17.42,0.5192,1.41,30.13,51,18,23.7,34.0,1,3,1,2,0.0919,0.2829,1,6,0.1018,3.0,0.1667,0.17,-1.0,-0.0,0.9544,1
12.7,0.8749,0.0,13.09,3,12,27.3,52.6,0,1,0,2,0.0,0.0337,0,0,0.0,0.0,0.0074,0.263,0.0,-1.0,0.2006,0
8.35,0.8265,0.0,10.66,0,10,34.2,86.3,0,0,1,1,0.0,0.047,0,4,0.0,0.0,0.0,0.2158,0.5,-0.866,0.4986,1
3.94,0.4595,25.93,3.95,95,7,26.3,59.2,0,6,0,0,0.5982,0.185,1,3,0.05,0.0,0.3974,0.0,0.9659,-0.2588,0.99,1
22.97,0.6694,4.5,15.39,63,8,33.2,71.9,0,4,1,3,0.3761,0.1758,0,1,0.1007,4.0,0.1267,0.5391,0.866,-0.5,0.99,1
2.32,0.6053,0.0,15.43,1,20,30.2,86.0,0,0,1,0,0.0,0.0866,0,2,0.0,0.0,0.0,0.0,-0.866,0.5,0.6524,0
19.13,0.7153,0.0,13.34,1,18,29.8,73.2,0,0,1,2,0.0,0.1328,1,3,0.0,0.0,0.0,0.366,-1.0,-0.0,0.621,1
5.74,0.7666,0.0,4.69,0,19,30.5,86.9,0,0,1,1,0.0,0.0626,0,1,0.0,0.0,0.0,0.2174,-0.9659,0.2588,0.5005,0
24.07,0.6081,0.07,2.97,53,8,27.1,67.5,0,3,1,3,0.0148,0.2302,0,2,0.0008,3.0,0.1227,0.5065,0.866,-0.5,0.9449,1
7.84,0.4448,0.67,15.69,61,18,23.4,72.8,0,3,1,1,0.1147,0.2626,0,4,0.0309,3.0,0.2068,0.1819,-1.0,-0.0,0.9831,1
4.47,0.9205,0.0,31.07,0,16,31.0,45.7,0,0,0,0,0.0,0.0111,0,3,0.0,0.0,0.0,0.0,-0.866,-0.5,0.1144,0
4.55,0.4248,14.5,18.32,63,14,33.5,60.0,0,4,0,0,0.5048,0.2178,1,4,0.1927,0.0,0.2908,0.0,-0.5,-0.866,0.99,1
18.07,0.8589,0.0,6.43,3,13,39.1,22.0,1,1,0,2,0.0,0.0455,0,5,0.0,0.0,0.0088,0.1098,-0.2588,-0.9659,0.0517,0
5.36,0.4473,0.0,1.78,2,4,24.2,42.2,0,1,0,1,0.0,0.2213,0,0,0.0,0.0,0.0685,0.1054,0.866,0.5,0.5144,1
10.66,0.6362,16.11,18.23,63,9,31.6,87.7,0,4,1,2,0.7645,0.157,0,4,0.1987,4.0,0.1463,0.4386,0.7071,-0.7071,0.99,1
22.07,0.6677,0.24,27.46,53,18,32.2,81.7,0,3,1,3,0.0531,0.1751,0,2,0.0223,3.0,0.0958,0.6126,-1.0,-0.0,0.9711,1
2.02,0.977,0.0,23.16,0,7,25.0,57.1,0,0,0,0,0.0,0.0011,1,0,0.0,0.0,0.0,0.0,0.9659,-0.2588,0.0997,0
4.15,0.9124,0.0,22.07,0,17,31.9,95.4,0,0,1,0,0.0,0.0124,0,3,0.0,0.0,0.0,0.0,-0.9659,-0.2588,0.4916,0
5.34,0.5318,0.0,21.62,0,15,30.4,33.3,0,0,0,1,0.0,0.1723,0,0,0.0,0.0,0.0,0.0832,-0.7071,-0.7071,0.2657,0
0.12,0.8443,0.0,21.46,0,14,35.3,50.2,0,0,0,0,0.0,0.0021,1,3,0.0,0.0,0.0,0.0,-0.5,-0.866,0.0479,0
3.52,0.8855,0.0,3.57,1,18,26.6,72.3,0,0,1,0,0.0,0.017,0,1,0.0,0.0,0.0,0.0,-1.0,-0.0,0.2345,0
1.38,0.6777,0.94,11.88,61,8,32.1,92.3,0,3,1,0,0.1883,0.0461,0,3,0.0303,3.0,0.0915,0.0,0.866,-0.5,0.965,1
7.86,0.5852,6.04,18.64,61,11,37.9,52.7,0,3,0,1,0.3156,0.1697,0,1,0.1396,0.0,0.1336,0.1317,0.2588,-0.9659,0.9771,1
6.01,0.7547,0.0,72.05,0,14,32.9,64.7,0,0,0,1,0.0,0.0689,0,3,0.0,0.0,0.0,0.1617,-0.5,-0.866,0.4001,0
16.75,0.7894,0.0,4.25,3,22,22.4,29.9,0,1,0,2,0.0,0.0809,1,3,0.0,0.0,0.0161,0.1497,-0.5,0.866,0.1494,0
4.7,0.6888,4.6,12.92,81,17,27.8,91.2,0,4,1,0,0.4818,0.088,0,0,0.0853,4.0,0.1157,0.0,-0.9659,-0.2588,0.99,1
4.33,0.8506,0.0,12.49,0,12,28.7,63.6,0,0,0,0,0.0,0.0282,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.1206,1
5.28,0.8936,4.71,23.87,81,21,30.9,39.4,0,4,0,1,0.2105,0.0186,0,1,0.1595,0.0,0.0232,0.0984,-0.7071,0.7071,0.9187,1
19.86,0.3329,0.0,6.46,1,20,27.6,97.2,0,0,1,2,0.0,0.4819,0,1,0.0,0.0,0.0,0.4861,-0.866,0.5,0.9824,1
10.81,0.7245,0.26,2.97,61,17,26.4,71.0,0,3,1,2,0.0498,0.104,0,1,0.0026,3.0,0.0723,0.355,-0.9659,-0.2588,0.8958,1
23.96,0.5694,0.0,9.67,2,18,32.4,81.2,0,1,1,3,0.0,0.2647,0,2,0.0,1.0,0.0471,0.6093,-1.0,-0.0,0.9204,1
17.16,0.7195,0.0,8.97,1,13,31.4,54.0,0,0,0,2,0.0,0.1254,0,4,0.0,0.0,0.0,0.2702,-0.2588,-0.9659,0.2396,1
3.38,0.8298,0.04,12.29,51,17,31.6,89.2,0,3,1,0,0.0107,0.0302,0,4,0.0018,3.0,0.0351,0.0,-0.9659,-0.2588,0.8347,1
12.4,0.6992,0.0,1.04,0,19,28.0,100.0,0,0,1,2,0.0,0.1247,0,0,0.0,0.0,0.0,0.5,-0.9659,0.2588,0.7539,1
12.9,0.8871,0.0,26.16,0,10,35.1,70.7,0,0,1,2,0.0,0.0291,1,0,0.0,0.0,0.0,0.3534,0.5,-0.866,0.4199,1
